City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Dingle,PH,2021-12-23 17:40:05,10.9995,122.6711,73.67,90,79,6.87,broken clouds
210,Margate,GB,2021-12-23 17:40:06,51.3813,1.3862,51.96,90,100,5.01,overcast clouds
211,Vila Franca Do Campo,PT,2021-12-23 17:40:06,37.7167,-25.4333,59.41,74,78,23.02,broken clouds
212,Ishigaki,JP,2021-12-23 17:40:06,24.3448,124.1572,73.85,75,84,5.86,broken clouds
213,Kahului,US,2021-12-23 17:34:36,20.8947,-156.47,73.85,85,40,8.05,scattered clouds
214,Flinders,AU,2021-12-23 17:40:07,-34.5833,150.8552,68.18,86,83,7.7,broken clouds
215,Andenes,NO,2021-12-23 17:40:07,69.3143,16.1194,24.78,80,40,4.61,light snow
216,Mayo,US,2021-12-23 17:40:08,38.8876,-76.5119,40.78,48,1,5.99,clear sky
217,Naze,JP,2021-12-23 17:40:08,28.3667,129.4833,65.66,91,100,17.09,light rain
218,Sambava,MG,2021-12-23 17:40:08,-14.2667,50.1667,80.17,85,24,7.49,few clouds
219,Vardo,NO,2021-12-23 17:40:09,70.3705,31.1107,26.58,93,90,31.07,heavy shower snow
220,College,US,2021-12-23 17:40:09,64.8569,-147.8028,6.75,84,90,4.61,light snow
221,Sakakah,SA,2021-12-23 17:40:09,29.9697,40.2064,56.77,42,100,4.47,overcast clouds
222,Eichenzell,DE,2021-12-23 17:41:10,50.4934,9.6961,36.99,89,100,4.0,overcast clouds
223,Turukhansk,RU,2021-12-23 17:41:10,65.8167,87.9833,7.99,66,100,19.71,overcast clouds
224,Kruisfontein,ZA,2021-12-23 17:41:11,-34.0033,24.7314,59.88,85,100,5.37,overcast clouds
225,Kaeo,NZ,2021-12-23 17:41:11,-35.1,173.7833,67.32,88,94,3.44,overcast clouds
226,Tonstad,NO,2021-12-23 17:41:11,58.6626,6.7169,37.24,98,63,4.54,broken clouds
227,Brumadinho,BR,2021-12-23 17:41:12,-20.1433,-44.1997,83.48,73,87,7.02,overcast clouds
228,Bolobo,CD,2021-12-23 17:41:12,-2.1667,16.2333,73.96,92,100,2.55,light rain
229,Biedenkopf,DE,2021-12-23 17:41:12,50.9167,8.5333,36.1,85,100,9.64,overcast clouds
