City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Grindavik,63.8424,-22.4338,39.15,93,75,6.91,IS,2021-12-21 21:34:12
205,Isabela,6.7085,121.9711,77.05,83,99,1.36,PH,2021-12-21 21:34:12
206,Dickinson,29.4608,-95.0513,64.09,49,1,1.99,US,2021-12-21 21:34:12
207,Katsuura,35.1333,140.3,50.14,66,0,12.15,JP,2021-12-21 21:34:13
208,Prince George,53.9166,-122.753,14.61,85,90,17.27,CA,2021-12-21 21:34:13
209,Eisiskes,54.1667,25.0,16.14,73,56,5.01,LT,2021-12-21 21:34:13
210,Sao Filipe,14.8961,-24.4956,75.52,72,100,5.93,CV,2021-12-21 21:34:14
211,Klaksvik,62.2266,-6.589,31.12,71,97,12.1,FO,2021-12-21 21:34:14
212,Serro,-18.6047,-43.3794,66.31,96,91,2.46,BR,2021-12-21 21:30:23
213,Mae Hong Son,19.3003,97.9685,59.07,85,0,1.59,TH,2021-12-21 21:34:14
214,Lompoc,34.6391,-120.4579,64.69,64,1,5.75,US,2021-12-21 21:29:58
215,Fukue,32.6881,128.8419,56.46,51,0,9.98,JP,2021-12-21 21:34:15
216,Nishihara,26.1842,127.7558,62.65,97,90,13.8,JP,2021-12-21 21:34:15
217,Acapulco,16.8634,-99.8901,85.82,70,75,8.05,MX,2021-12-21 21:29:37
218,Talaya,61.3833,152.75,-36.83,97,100,2.26,RU,2021-12-21 21:34:16
219,Behshahr,36.6923,53.5526,56.3,43,0,3.89,IR,2021-12-21 21:34:16
220,Libenge,3.65,18.6333,80.37,41,60,1.7,CD,2021-12-21 21:34:16
221,Port Keats,-14.25,129.55,84.4,78,100,2.51,AU,2021-12-21 21:34:16
222,Carutapera,-1.195,-46.02,80.56,76,100,10.74,BR,2021-12-21 21:34:17
223,Zyryanka,65.75,150.85,-37.48,95,13,7.07,RU,2021-12-21 21:34:17
224,Komsomolskiy,40.4272,71.7189,35.02,75,98,6.91,UZ,2021-12-21 21:34:17
225,Half Moon Bay,37.4636,-122.4286,63.73,74,20,9.22,US,2021-12-21 21:31:50
226,Severo-Kurilsk,50.6789,156.125,22.93,73,10,14.94,RU,2021-12-21 21:34:18
227,Williams Lake,52.1415,-122.1445,13.57,85,75,12.66,CA,2021-12-21 21:35:18
228,Jand,33.4299,72.0193,50.52,25,36,2.35,PK,2021-12-21 21:35:18
229,San Jose,37.3394,-121.895,63.68,55,40,0.0,US,2021-12-21 21:34:15
230,Piacabucu,-10.4056,-36.4344,80.1,81,87,13.98,BR,2021-12-21 21:35:19
231,Hobart,-42.8794,147.3294,57.11,54,75,1.99,AU,2021-12-21 21:30:28
232,Hirara,24.8,125.2833,74.14,90,99,26.66,JP,2021-12-21 21:35:19
233,Bambous Virieux,-20.3428,57.7575,79.05,78,75,12.66,MU,2021-12-21 21:35:19
234,Dingle,10.9995,122.6711,74.46,92,100,5.77,PH,2021-12-21 21:35:20
235,Murakami,38.2333,139.4833,42.69,64,100,14.12,JP,2021-12-21 21:35:20
236,Marawi,7.9986,124.2928,63.64,93,71,1.74,PH,2021-12-21 21:35:20
237,Inawashiro,37.5667,140.1167,36.68,93,98,11.74,JP,2021-12-21 21:35:21
238,Dukat,62.55,155.55,-28.39,92,97,5.1,RU,2021-12-21 21:35:21
239,Jining,35.405,116.5814,37.92,73,0,4.59,CN,2021-12-21 21:35:21
240,High Level,58.5169,-117.136,10.51,92,75,4.61,CA,2021-12-21 21:34:03
241,Wawa,9.9022,4.4192,77.41,30,3,6.4,NG,2021-12-21 21:35:22
242,Victoria,22.2855,114.1577,63.32,84,82,3.0,HK,2021-12-21 21:35:22
243,Margate,51.3813,1.3862,41.92,62,78,1.01,GB,2021-12-21 21:30:32
244,Muros,42.7762,-9.0603,62.85,75,98,14.18,ES,2021-12-21 21:35:23
245,Ibra,22.6906,58.5334,65.61,38,50,1.21,OM,2021-12-21 21:35:23
246,Sorada,19.75,84.4333,54.91,40,0,3.24,IN,2021-12-21 21:35:23
247,Thurles,52.6819,-7.8022,46.17,86,100,14.81,IE,2021-12-21 21:35:24
248,Makow Mazowiecki,52.8649,21.1005,29.98,92,97,2.95,PL,2021-12-21 21:35:24
249,Rawlins,41.7911,-107.2387,41.22,32,1,28.77,US,2021-12-21 21:35:22
250,Ziro,27.6333,93.8333,31.48,67,41,3.06,IN,2021-12-21 21:35:25
251,Touros,-5.1989,-35.4608,83.3,76,26,10.38,BR,2021-12-21 21:35:25
252,Castro,-24.7911,-50.0119,75.51,44,48,3.6,BR,2021-12-21 21:35:25
253,Karratha,-20.7377,116.8463,83.32,67,48,8.32,AU,2021-12-21 21:32:17
254,Abeche,13.8292,20.8324,69.93,22,5,12.21,TD,2021-12-21 21:35:25
255,Coihaique,-45.5752,-72.0662,76.95,31,0,10.36,CL,2021-12-21 21:35:26
256,Shenkursk,62.1091,42.896,-1.7,95,100,6.15,RU,2021-12-21 21:35:26
257,Sao Felix Do Xingu,-6.6447,-51.995,75.6,96,99,2.21,BR,2021-12-21 21:35:26
258,Lockhart,28.6194,-81.4426,73.49,75,90,5.01,US,2021-12-21 21:35:27
259,Airai,-8.9266,125.4092,61.63,90,100,0.54,TL,2021-12-21 21:35:27
260,Porbandar,21.6422,69.6093,68.04,61,46,6.76,IN,2021-12-21 21:35:27
261,Kahului,20.8947,-156.47,73.42,82,75,14.97,US,2021-12-21 21:34:28
262,Isangel,-19.55,169.2667,84.31,84,40,0.0,VU,2021-12-21 21:35:28
263,Sakakah,29.9697,40.2064,44.17,49,20,6.49,SA,2021-12-21 21:35:28
264,Cape Canaveral,28.4058,-80.6048,73.04,88,75,11.5,US,2021-12-21 21:35:28
265,Jizan,17.3333,42.6667,81.54,80,35,3.56,SA,2021-12-21 21:35:29
266,Manzhouli,49.6,117.4333,-14.13,94,7,2.68,CN,2021-12-21 21:35:29
267,Yulara,-25.2406,130.9889,80.44,21,1,5.75,AU,2021-12-21 21:35:30
268,Tiksi,71.6872,128.8694,-19.68,97,97,9.01,RU,2021-12-21 21:35:30
269,Seoul,37.5683,126.9778,29.64,68,0,2.3,KR,2021-12-21 21:33:43
270,Turka,49.1541,23.0297,11.93,96,24,3.47,UA,2021-12-21 21:35:30
271,Puerto Montt,-41.4698,-72.9447,67.03,52,0,14.97,CL,2021-12-21 21:35:31
272,Marfino,55.7028,37.3822,-2.13,76,75,8.95,RU,2021-12-21 21:36:31
273,Garmsar,35.2182,52.3409,47.64,39,0,12.24,IR,2021-12-21 21:36:31
274,Cap-Aux-Meules,47.3821,-61.8597,32.05,74,75,21.85,CA,2021-12-21 21:36:31
275,Esperance,-33.8667,121.9,58.84,80,67,8.16,AU,2021-12-21 21:36:32
276,Mahebourg,-20.4081,57.7,79.09,78,75,12.66,MU,2021-12-21 21:36:32
277,Kushmurun,52.4503,64.6311,35.38,87,100,15.68,KZ,2021-12-21 21:36:33
278,Igarka,67.4667,86.5833,-14.33,86,100,12.93,RU,2021-12-21 21:36:33
279,Chabahar,25.2919,60.643,73.36,76,25,10.38,IR,2021-12-21 21:36:33
280,Seymchan,62.8833,152.4333,-52.91,97,60,0.54,RU,2021-12-21 21:36:33
281,Saint-Francois,46.4154,3.9054,29.48,99,75,0.0,FR,2021-12-21 21:36:34
282,Tautira,-17.7333,-149.15,84.22,78,89,15.41,PF,2021-12-21 21:36:34
283,Dholka,22.7167,72.4667,55.78,29,0,4.18,IN,2021-12-21 21:36:34
284,Lucapa,-8.4192,20.7447,68.31,95,100,2.33,AO,2021-12-21 21:36:35
285,Orlik,52.5178,99.825,2.19,98,100,0.51,RU,2021-12-21 21:36:35
286,Champerico,14.3,-91.9167,85.77,68,95,8.5,GT,2021-12-21 21:36:35
287,Maceio,-9.6658,-35.7353,83.64,74,20,13.8,BR,2021-12-21 21:36:36
288,Babati,-4.2167,35.75,64.63,94,100,0.69,TZ,2021-12-21 21:36:36
289,Cayenne,4.9333,-52.3333,80.64,90,75,5.99,GF,2021-12-21 21:36:36
290,Talcahuano,-36.7167,-73.1167,73.08,43,0,17.27,CL,2021-12-21 21:36:36
291,Bathsheba,13.2167,-59.5167,81.21,69,20,19.57,BB,2021-12-21 21:36:37
292,Calvinia,-31.4707,19.776,71.92,48,100,6.71,ZA,2021-12-21 21:36:37
293,Mendi,-6.1761,143.6513,60.78,92,68,0.72,PG,2021-12-21 21:36:38
